Title,Content
फूल-परी,"```
My garden is full of colorful, playful fairies,
Oh, how beautiful they are, whispering and giggling.
Adorned with shimmering clothes,
Fragrant with sweet perfumes,
Soft and colorful like silk.

In the green canopy, the wind dances,
Swaying and swirling, it never rests.
Adorned with sparkling diamond dew,
They smile and beckon me with their eyes,
Sharing their joy with me.

Beautiful birds with soft, colorful feathers,
Flutter around them,
Their playful dance is so mesmerizing,
It's almost scary to touch.
They speak to me from above,
""Where do you come from, little girl, a forest fairy?""

Blushing, they reply,
""Where colorful, soft clouds hang low,
Where tall rainbows bloom in many hues.""

""What is that world like, shimmering with colors?
Do you have wings, beautiful and bright?""

""Where were you born, little ones?""
""We were born from the dreams of God's heart,
In the shimmering light of dawn.""

""Do you dance silently, like colorful birds?""
""We speak with kind hearts,
And when we receive His command,
We open our hearts and dance,
Always smiling, for you, our Lord, have enchanted the world.""

Our hearts are woven with thousands of languages,
Adorned with the love of the world, like a precious jewel.
Made of earth, yet filled with heavenly nectar,
Small and beautiful, fragrant and full of emotion.

Let's illuminate this world with beautiful colors,
Spreading fragrance and happiness in the air.
Removing everyone's pain,
We, your children, are drawn to you, our Lord.

We spread our fragrance, captivating the world,
Sharing the sweet honey of our hearts.
May life be like a dream, a beautiful moment,
May the world be filled with joy and sweetness.

""Give us soft jewels and vibrant colors,""
""Make it happen,"" they say, with joyful hearts.
Our hearts are overflowing with nectar, ready to nourish others,
That's why our fragrance spreads everywhere.
```
"
किताब-चरो,"```
How beautiful, look, the book-bird,
This poor thing spreads its two wings.
How many drops it opens, shimmering,
And I, engrossed, watch, ah!

How many layers, look, in its nest,
How many feathers it spreads, how delightful!
The more I look, the farther it flies,
I ride on it, always in bliss.

Sometimes I reach the palaces of clouds,
All gold, how real!
Among which, in the worlds of stories,
I contemplate new things.

Sometimes I go abroad, somewhere,
Amazed to see the pictures,
In Patna, Benares, Bombay,
I wander, immersed in colors.

Sometimes, crossing many oceans,
I wander in London, look, my friend!
Riding so many motors, so many trams,
Flying in airplanes.

I converse with so many,
With those from long ago, as much as I do,
My mouth only oozes with nectar,
Taking rhythm, sweetness, and happiness.

The palaces of yore,
The shining swords,
Glittering, I see them,
History turned into stories and poems.

Sometimes I see new scenes,
Sometimes the world of joy and sorrow,
I converse with bygone eras,
How fun it is to ride the book-bird.
```"
धूलो,"```
This is the dust of my homeland,
I will become water and mingle with it.
Pouring down as heavy rain,
I will shower this land.

May this feeling of belonging never fade,
I am a fragrant particle.
Behind me, flowers will bloom,
And thousands will inhale their sweet perfume.
```"
नेपाली सलाई बट्टा,"```
Where the shimmering rays adorn,
A radiant face, intensely red, like a rose,
The sun, a vibrant poem,
Unveiling colors, bright and bold.

May a new flame ignite within the heart,
As darkness fades, and lamps burn bright,
Why does the sun's ray shine so strong?
A new era dawns, with newfound light.
``` 
"
कुहू कुहू,"```
Who am I? Who am I? In the forest, who makes that cuckoo sound? Oh!
No, no, it's not me, it's not me, but who is it? Who is it that remains unknown?

Is it in the flower? Or hidden in the branches?
Is it in the fragrance? Or does it reside in the birds?
Towards the bud? Or within a single bud?
It feels like a dream, a fleeting vision.

Who am I? Who am I? I fail to recognize,
This shimmering essence, carrying a myriad of hues.
Tell me, who is hiding, making spring bloom?
This question, so delightful, captivates me.

Who am I? Who am I? Asks everything,
With a childlike heart, a flowing stream of delight.
Who creates this colorful spring,
With new and wondrous creations?
```"
तस्वीर,"```
(1) Tell me, tell me, little one, how did you get ready?
How delightful and beautiful, what fun! May I have a taste?
With such skill, you've perfected every face,
What a clever thing, this essence of a picture you embrace.

(2) The mouth is perfect, the nose so slender and fine,
And look, the clothes fit just right, how divine!
Anger, joy, all emotions are captured with such grace,
Every day I watch you, finding joy and solace.

(3) Who could have painted all these people so well,
With such artistry and skill, I can't tell!
With a heart full of color and imaginative flair,
How many worlds could be created, beyond compare?

(4) The more I look, the more real it seems to be,
Every face speaks, none appear incomplete to me.
For a moment, I enter this world I find,
Where my whims and fancies are always aligned.

(5) As I gaze upon it, listening intently,
My mind wanders, lost in contemplation plenty.
The mouths all speak, the essence of the picture unfolds,
Trees bloom, and thousands of wings take hold.

(6) Come, my friend, let's climb a branch and see,
From above, let's observe this imagery.
Every day I study it, just like this,
Immersed in the worlds within each artistic bliss. 
```"
हैँसा बुढीको मुख,"```
(1) Look, a face devoid of joy and laughter,
Covered in wrinkles, countless in number.
Like deep ravines etched with sorrow,
Reflecting a life of hardship and slumber.

(2) No color graces the lips, nor strength in the hand,
Only a stick to lean on, a pitiful stand.
Half her body seems to have withered away,
Leaving behind a frail shell, in disarray.

(3) Her bent back bears the weight of time's embrace,
Hair turned silver, a frosty, white trace.
Eyes once bright, now dimmed and forlorn,
No longer keen to see the world reborn.

(4) Flies buzz around her, a constant refrain,
As she sits motionless, her spirit in pain.
A courtyard lies empty, a mockery of cheer,
While she yearns for comfort, her end drawing near.

(5) Neither a celestial being nor a haunting sprite,
Just an old woman, her life's journey taking flight.
Reduced to dust, she begs with a trembling plea,
""Give me some tobacco,"" a desperate decree.

(6) Witnessing her plight, a chuckle escapes my lips,
But then I pause, a wave of realization grips.
Where are her teeth, lost to the passage of time?
And why adorn her hair with frost, a cruel mime?

(7) Wrinkles stretch across her throat, a thirsty terrain,
As she drinks water with effort, enduring the strain.
Ears grow deaf, yet she clings to life's fading light,
Turning towards the sound of water, day and night.

(8) Her lips move in a silent, whispered hum,
An old woman, like a tree stripped bare, overcome.
Does she mutter spells, seeking solace and might?
Or ward off evil spirits in the fading light?

(9) No, no, don't tease her, let her be,
For fear grips her heart, if tears you should see.
She hides her pain behind a wrinkled facade,
This pitiful soul, burdened and dismayed.

(10) Once a vibrant soul, full of life's sweet song,
Now a frail echo, where did it all go wrong?
Life's journey ends, leaving emptiness in its wake,
Enough with mockery, for compassion's sake. 
```
"
गाउँ दिने कथा,"```
Riding a howdah on a horse,
An elephant atop the howdah,
The playful king,
Faced such a plight!

Two huts, dark and small,
Two stars twinkling above,
Branches up high, bushes down low,
My dear, what could that be?
``` 
"
पृथ्वी-भकुण्डो,"```
(1) The round earth, a wobbly pumpkin, spinning day by day, kicking and tumbling every moment. Always thrown to the east, the day runs to the west, who plays with this pumpkin, which day will it stop, which Hari?

(2) There's a vast field, the biggest of all, shimmering blue, always lit, laughing in many ways. It throws itself alone, tumbling and turning day and night, have you seen anyone playing football on that side?
```"
जुनी,"```
(1)A life of stealing and troubling is like a fly,
A life of decorating the mind is like a deer.
The lazy and sleepy one is called a python,
Be careful, or your next life will be bad.

(2)“I will be big,” says the one who will be an elephant,
The one who kicks and tramples will be a horse.
The one who drinks blood will be a mosquito,
So be careful, I leave your next life to you.

(3)Dirty thoughts make you a vulture,
The one who doesn't donate in this world is a donkey, they say.
""Even a stone-hearted person can change,"" he said,
""Change your ways,"" he listened with his ears.
```"
झाँगघर,"```
(1) Let's build a home together,
Though the world be our Earth, let it be heaven.
May our hearts bloom like flowers, filled with joy,
And our thoughts flow like gentle waves.

(2) The waves' home is a new one,
Within it lies a different world altogether.
The soul, like a bird, is caged there,
Yet it speaks such sweet and novel words.

(3) So many windows adorn this abode,
Sunlight streams in, waves of happiness abound.
Eagerly entering every corner,
A cool breeze refreshes the eyes.
```"
